,publishing_date,author,tags_archive,title
310,2020-05-02T09:21:05-06:00,Natiana Gándara,[],Día Mundial de la Libertad de Prensa: Reconocen labor en medio de pandemia del covid-19
320,2021-09-03T12:11:44-06:00,Pam Belluck. c. The New York Times Company 2021,"['CORONAVIRUS', 'PL PLUS', 'RECOMENDACIÓN DE LOS EDITORES', 'THE NEW YORK TIMES COMPANY']",Estudio señala que pacientes con covid-19 podrían padecer problemas renales prolongados		
323,2021-01-29T06:27:34-06:00,BBC News Mundo,[],Coronavirus: cómo covid-19 está causando una “crisis de oxígeno” en los países en desarrollo
326,2020-09-18T15:40:13-06:00,The Conversation,[],Cómo no confundir con COVID-19 las alergias de otoño e invierno
330,2020-08-09T18:04:39-06:00,BBC News Mundo,[],"Mascarillas contra el coronavirus: cómo los tapabocas no sólo evitan la propagación de covid-19, sino que pueden reducir los síntomas en caso de infección"
411,2020-07-02T05:00:39-06:00,Brenda Martínez,"['CORONAVIRUS', 'DESINFONDEMIA', 'PL PLUS', 'PLUS IMPRESO', 'RECOMENDACIÓN DE LOS EDITORES']","Alto: Se necesita vacuna para la “desinfondemia”, en tiempos del covid-19		"
413,2020-05-03T19:33:06-06:00,BBC News Mundo,[],Noticias falsas y coronavirus: “Me arrestaron por inventarme en Facebook que tenía covid-19”
418,2020-02-25T17:51:46-06:00,Forbes México,[],Llega el otro coronavirus: la propagación del malware temático del covid-19
106,2020-05-18T14:41:15-06:00,William Oliva,[],Bono Familia: Habilitan sitio web de inscripción para obtener ayuda por coronavirus
159,2021-09-17T12:02:14-06:00,Tara Parker-Pope. C. The New York Times Company 2021,"['CORONAVIRUS', 'RECOMENDACIÓN DE LOS EDITORES', 'THE NEW YORK TIMES COMPANY', 'TRABAJO EN CASA']",Seis preguntas y respuestas sobre el coronavirus y el riesgo en su sitio de trabajo		
327,2020-09-03T13:53:00-06:00,BBC News Mundo,[],Miguel Pita sobre el coronavirus: “Lo ideal para su propia subsistencia sería transformarse en un virus que casi no nos enferme” (y por qué es muy probable que suceda)
334,2020-05-28T22:33:02-06:00,Maria Andrea Dominguez Velasco,[],Coronavirus: Pacientes y personas en cuarentena temen por su vida por discriminación
336,2020-02-09T11:06:43-06:00,BBC News Mundo,[],Coronavirus en China: cómo el brote afecta la vida cotidiana en el gigante asiático
407,2020-12-04T08:02:13-06:00,EFE,[],Hackers atacan cadena de distribución de vacunas para coronavirus
409,2020-08-19T05:00:37-06:00,Urías Gamarro,[],Coronavirus: Estos son los delitos para lavar dinero que se dispararon por la pandemia
416,2020-04-23T05:00:42-06:00,Katerin Chumil,[],La emergencia del coronavirus ha servido de señuelo para realizar estafas por internet
81,2022-03-16T05:00:55-06:00,José Pablo del Águila,"['CORONAVIRUS DOS AÑOS', 'ESTUDIO COVID-19', 'EXPLORADORES PLUS']",En pandemia una de cada cuatro personas trabaja desde casa en el área metropolitana		
328,2020-08-19T06:00:20-06:00,Brenda Martínez,"['CONTAMINACIÓN', 'CORONAVIRUS', 'CORONAVIRUS EN GUATEMALA', 'MEDIO AMBIENTE', 'MEDIOAMBIENTE', 'PL PLUS', 'PLUS IMPRESO', 'RECOMENDACIÓN DE LOS EDITORES']",Mascarillas y guantes en los vertederos de basura: la pandemia también azota al medioambiente		
332,2020-07-13T09:56:21-06:00,The Converstation,[],La investigación del cáncer nunca para (tampoco en la pandemia)
405,2021-02-15T05:00:29-06:00,Katerin Chumil,[],Fraudes y estafas se incrementaron durante la pandemia
