	publishing_date	author	tags_archive	title
42	2022-10-05T10:00:50-06:00	Ingrid Reyes	[]	Niños y videojuegos: cómo evitar pagos excesivos y otros riesgos que enfrentan los menores
118	2016-05-09T11:56:53-06:00	México / EFE	[]	Desmantelan en México sitio web pornográfico que extorsionaba a menores
384	2016-06-27T17:16:42-06:00	BYRON VÁSQUEZ	[]	Unicef: menores son vulnerables ante el cibercrimen
402	2021-10-05T09:21:13-06:00	Julio Román y Maria Andrea Dominguez Velasco	[]	Redes sociales: la nueva modalidad con la que pandilleros reclutan a menores de edad en Guatemala
458	2016-06-27T07:02:36-06:00	JOSÉ MANUEL PATZÁN	[]	Venta de niño de 4 años era broma, dice menor de edad
20	2017-05-27T13:11:20-06:00	BBC Mundo	[]	Reuben Paul, el niño de 11 años que hackea ositos de peluche y ya tiene su propia empresa de ciberseguridad
44	2022-09-24T12:30:33-06:00	Ingrid Reyes	[]	Seguridad infantil: cómo enseñar a los niños a ser más críticos con el uso del internet y otros retos para mejorar su seguridad
189	2018-07-12T14:39:24-06:00	EFE	[]	Rescatan a niña que fue dada en adopción a través de un foro web
324	2021-01-10T16:32:32-06:00	Agencia DPA	[]	¿Cómo hacemos para que los niños no miren basura en YouTube?
337	2019-12-26T20:00:01-06:00	DPA	[]	¿Cómo hacemos para que los niños no miren contenido inapropiado en YouTube?
422	2019-08-08T16:31:10-06:00	Ana Lucía Ola	[]	El Museo de los Niños usa la realidad virtual para enseñar sobre los peligros de internet
166	2020-06-25T05:00:05-06:00	Brenda Martínez	['ABUSO INFANTIL', 'CORONAVIRUS', 'DELITOS SEXUALES', 'PEDOFILIA', 'PL PLUS', 'PLUS IMPRESO', 'RECOMENDACIÓN DE LOS EDITORES']	"Depredadores sexuales infantiles acechan en la web, el riesgo aumenta en confinamiento		"
170	2020-01-15T08:13:00-06:00	BBC News Mundo	[]	El preocupante número de adolescentes engañadas para tomarse imágenes sexuales que terminan en sitios de pornografía infantil
421	2019-09-25T09:15:04-06:00	Mynor Toc	[]	Fiscalía contra la pornografía infantil efectúa allanamientos en Quiché y Quetzaltenango
434	2018-01-30T10:15:38-06:00	Redacción	[]	Capturado en la zona 21 es investigado por caso de pornografía infantil
439	2017-08-08T07:29:33-06:00	Miguel Barrientos	[]	Capturados distribuían pornografía infantil en redes sociales
443	2017-06-26T07:13:39-06:00	Geovanni Contreras	[]	Guatemala el gran distribuidor de pornografía infantil
459	2016-05-18T07:13:31-06:00	BYRON VÁSQUEZ	[]	Joven hizo video de pornografía infantil que subio a internet
