	publishing_date	author	tags_archive	title
17	2019-04-04T09:41:32-06:00	Natiana Gándara	[]	Buscan socios en Guatemala en inteligencia artificial, automatización y ciberseguridad
23	2017-01-24T14:51:24-06:00	Guatemala / EFE	[]	Guatemala trabaja estrategia nacional de ciberseguridad
43	2022-10-05T05:00:26-06:00	Agustín Ortiz	[]	Internet en Guatemala: Mejora calidad pero acceso y seguridad para el usuario son débiles, según estudio
51	2022-08-19T13:08:35-06:00	Julio Román	[]	Human Rights Watch critica la Ley contra los ciberdelitos de Guatemala y dice que esta podría usarse para acosar a críticos
56	2022-07-25T12:22:34-06:00	Redacción C-Studio	[]	Guatemala propone crear Comité de Seguros en la región
59	2022-07-07T05:00:02-06:00	Urías Gamarro	[]	La recuperación económica está impulsando una acelerada adopción de la nube en Guatemala ¿qué significa esto?
64	2022-06-09T10:00:08-06:00	Alejandro Ortiz	[]	¿Cómo desarrollar un proyecto NFT y cuáles son algunas plataformas con estos archivos en Guatemala?
78	2022-04-01T05:00:53-06:00	Enrique Canahui y Estuardo Gasparico Marroquín, Especial para Prensa Libre	['ESTRATEGIAS', 'EXPLORADORES PLUS', 'MARKETING', 'NEGOCIOS PLUS', 'PL PLUS']	"¿En línea o en tienda física? Las categorías ganadoras del comercio electrónico en Guatemala		"
85	2022-03-01T05:00:46-06:00	Elder Interiano, Especial para Prensa Libre	['CIBERATAQUES', 'CLAVE ECONÓMICA', 'CONFLICTO RUSIA-UCRANIA', 'PL PLUS']	"Conflicto Rusia-Ucrania: ¿Cuáles son los riesgos de una guerra cibernética y cómo impacta a Guatemala?		"
92	2022-01-22T05:00:06-06:00	Redacción Economía	[]	En Guatemala ya hay un Centro de Excelencia en la Nube, con el apoyo de una transnacional de renombre mundial
94	2022-01-19T22:31:30-06:00	Redacción	[]	Tigo Business Guatemala pondrá en marcha el Centro de Excelencia en la Nube en colaboración con Microsoft
98	2021-11-30T12:06:06-06:00	Norvin Leonardo Mendoza	[]	Guatemala se une a la plataforma Ciudad Posible
174	2019-11-23T20:12:04-06:00	Andrea Jumique	[]	Experto digital de compañía con 80 millones de sitios elogia a Guatemala
195	2018-02-21T10:49:24-06:00	Brenda Martínez	[]	Conozca las razones por las que los sitios arqueológicos de Guatemala continúan desprotegidos
206	2015-08-27T13:09:17-06:00	Cristian Noé Dávila	[]	Así está Guatemala en cuanto a seguridad informática
227	2019-06-02T19:19:30-06:00	ACAN-EFE	[]	Ejército de Guatemala crea  comandos de Informática y  Comunicaciones
305	2019-04-20T10:28:34-06:00	Bill Barreto Villeda	[]	Embajada de México en Guatemala fue hackeada y filtran miles de documentos
313	2022-08-18T05:03:31-06:00	Sara Solórzano	[]	Van más de 3,500 denuncias por delitos a través de redes sociales en Guatemala
316	2022-01-15T13:23:53-06:00	Sergio Morales Rodas	[]	Hondureños no han necesitado de caravanas para cruzar Guatemala y llegar a EE. UU.
338	2019-11-29T05:00:12-06:00	Katerin Chumil	[]	Extorsiones en Guatemala: “Un 60 por ciento de las denuncias que ingresan son de imitadores”
350	2019-01-31T17:33:24-06:00	Julie López	[]	Narcotráfico en Guatemala:   déjà vu de rutas y métodos, pero con mucha más cocaína
402	2021-10-05T09:21:13-06:00	Julio Román y Maria Andrea Dominguez Velasco	[]	Redes sociales: la nueva modalidad con la que pandilleros reclutan a menores de edad en Guatemala
443	2017-06-26T07:13:39-06:00	Geovanni Contreras	[]	Guatemala el gran distribuidor de pornografía infantil
445	2017-05-14T10:40:11-06:00	Beatriz Tercero	[]	Anonymous Guatemala opera desde las sombras
362	2017-05-25T08:33:27-06:00	Redacción AFP, EFE y AP	[]	Filtraciones crispan política entre Washington y Londres
158	2021-09-17T15:33:47-06:00	Oscar García	[]	Parque Nacional Tikal habilita de nuevo el servicio Amanecer/Atardecer para disfrutar de los paisajes del sitio
210	2015-02-17T20:24:39-06:00	Willian Cumes	[]	"<a href=""https://www.prensalibre.com/internacional/Seguridad_informatica-EE-UU-Espionaje_0_1305469686.html"">¿EE. UU. puso spyware en computadoras extranjeras?</a>"
215	2021-10-04T09:27:40-06:00	Julio Román	[]	Qué son y qué funciones tienen las recién creadas Comisión Nacional para la Prevención de la Violencia Armada y el Comité Nacional de Seguridad Cibernética
367	2016-04-04T10:40:39-06:00	Washington DC/AFP	[]	Detrás de los “Panama Papers” está el grupo internacional de periodistas ICIJ
376	2022-08-10T17:07:03-06:00	William Oliva	[]	Acción Ciudadana y Transparencia Internacional rechazan la normativa contra cibercrimen
